Country_Code,year,NGDP,NGDPD,GGR,GGX,PCPI,PPPEX,PCPI_2020,PCPI_2020_multiplier,GGR_in_2020_LCU,GGX_in_2020_LCU,EX_RATE,GGR_in_2020_USD,GGX_in_2020_USD,Fiscal_Deficit_in_2020_USD,Avg_Fiscal_Deficit_Pre_2019,Excess_Fiscal_Deficit,Excess_Fiscal_Deficit_2020,Excess_Fiscal_Deficit_2021,Excess_Fiscal_Deficit_2020_2021,country_number,Resource_Rich,Oil_Gas_Rich,Region_Code,Reg,IDA,Country,Income_Group,Country_Code2,Small_States,IBRD_IDA
ABW,2014,4.743,2.649,1.118,1.491,118.058,1.309,127.19,1.07735181,1.204479324,1.606331549,1.790486976,0.672710464,0.897147854,0.224437391,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2015,4.818,2.691,1.267,1.346,118.619,1.362,127.19,1.072256552,1.358549052,1.44325732,1.790412486,0.758791096,0.806103248,0.047312152,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2016,4.756,2.657,1.264,1.342,117.514,1.355,127.19,1.082339126,1.368076655,1.452499106,1.789988709,0.764293455,0.811457133,0.047163678,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2017,4.795,2.679,1.216,1.359,116.305,1.351,127.19,1.093590129,1.329805597,1.486188986,1.789846958,0.742971678,0.83034417,0.087372492,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2018,5.044,2.818,1.297,1.409,120.522,1.371,127.19,1.055325999,1.36875782,1.486954332,1.78992193,0.764702525,0.830736976,0.066034451,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2019,5.17,2.888,1.42,1.4,125.654,1.375,127.19,1.012224044,1.437358142,1.417113661,1.790166205,0.802918823,0.791610107,-0.011308716,0.094464033,0,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2020,4.096,2.288,0.966,1.947,127.19,1.338,127.19,1,0.966,1.947,1.79020979,0.539601562,1.087582031,0.547980469,0.094464033,0.453516436,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2021,4.599,2.569,1.214,1.516,129.49,1.348,127.19,0.982238011,1.192436945,1.489072824,1.790190736,0.666094914,0.831795626,0.165700712,0.094464033,0.071236679,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2022,4.922,2.75,1.339,1.573,132.574,1.357,127.19,0.959388719,1.284621494,1.509118455,1.789818182,0.717738543,0.84316858,0.125430037,0.094464033,0.030966004,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2023,5.111,2.855,1.391,1.608,135.558,1.363,127.19,0.938269966,1.305133522,1.508738105,1.790192644,0.729046411,0.842779747,0.113733337,0.094464033,0.019269304,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2024,5.294,2.958,1.441,1.608,138.552,1.368,127.19,0.917994688,1.322830345,1.476135458,1.789722786,0.739125833,0.824784414,0.08565858,0.094464033,-0.008805452,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
ABW,2025,5.474,3.058,1.489,1.595,141.623,1.372,127.19,0.898088587,1.337253906,1.432451297,1.790058862,0.747044656,0.800225807,0.053181151,0.094464033,-0.041282882,0.453516436,0.071236679,0.524753115,6,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE
