year,Country_Code,GDP_Curr_USD,GDP_Curr_LCU,LCU_USD_ex_rate
1960,ABW,,,
1961,ABW,,,
1962,ABW,,,
1963,ABW,,,
1964,ABW,,,
1965,ABW,,,
1966,ABW,,,
1967,ABW,,,
1968,ABW,,,
1969,ABW,,,
1970,ABW,,,
1971,ABW,,,
1972,ABW,,,
1973,ABW,,,
1974,ABW,,,
1975,ABW,,,
1976,ABW,,,
1977,ABW,,,
1978,ABW,,,
1979,ABW,,,
1980,ABW,,,
1981,ABW,,,
1982,ABW,,,
1983,ABW,,,
1984,ABW,,,
1985,ABW,,,
1986,ABW,405463417.1174597,725779516.640253,0.5586592178770949
1987,ABW,487602457.7464162,872808399.366085,0.5586592178770949
1988,ABW,596423607.1147151,1067598256.7353401,0.5586592178770949
1989,ABW,695304363.0311005,1244594809.82567,0.5586592178770949
1990,ABW,764887117.194486,1369147939.77813,0.5586592178770949
1991,ABW,872138715.0837989,1561128300.0,0.5586592178770949
1992,ABW,958463184.3575419,1715649100.0,0.5586592178770949
1993,ABW,1082979720.670391,1938533700.0,0.5586592178770949
1994,ABW,1245688268.1564245,2229782000.0,0.5586592178770949
1995,ABW,1320474860.3351955,2363650000.0,0.5586592178770949
1996,ABW,1379960893.8547485,2470130000.0,0.5586592178770949
1997,ABW,1531944134.0782123,2742180000.0,0.5586592178770949
1998,ABW,1665100558.6592178,2980530000.0,0.5586592178770949
1999,ABW,1722798882.681564,3083810000.0,0.5586592178770949
2000,ABW,1873452513.9664805,3353480000.0,0.5586592178770949
2001,ABW,1920111731.8435755,3437000000.0,0.5586592178770949
2002,ABW,1941340782.122905,3475000000.0,0.5586592178770949
2003,ABW,2021229050.2793295,3618000000.0,0.5586592178770949
2004,ABW,2228491620.111732,3989000000.0,0.558659217877095
2005,ABW,2330726256.98324,4172000000.0,0.5586592178770949
2006,ABW,2424581005.586592,4340000000.0,0.5586592178770949
2007,ABW,2615083798.8826814,4681000000.0,0.5586592178770949
2008,ABW,2745251396.6480446,4914000000.0,0.5586592178770949
2009,ABW,2498882681.5642457,4473000000.0,0.5586592178770949
2010,ABW,2390502793.296089,4279000000.0,0.5586592178770949
2011,ABW,2549720670.3910613,4564000000.0,0.5586592178770949
2012,ABW,2534636871.50838,4537000000.0,0.5586592178770949
2013,ABW,2701675977.653631,4836000000.0,0.5586592178770949
2014,ABW,2765363128.49162,4950000000.0,0.5586592178770949
2015,ABW,2919553072.625698,5226000000.0,0.5586592178770949
2016,ABW,2965921787.709497,5309000000.0,0.5586592178770949
2017,ABW,3056424581.0055866,5471000000.0,0.5586592178770949
2018,ABW,,,
2019,ABW,,,
1960,AFG,537777811.1111112,24200001500.0,0.022222222222222223
1961,AFG,548888895.5555556,24700000300.000004,0.02222222222222222
