Sno,Country_Code,GDP_Constant_USD_value_crisis,GDP_Constant_USD_value_pre_crisis,GDP_Constant_USD_crisis_year,GDP_Constant_USD_turn_around_year,GDP_Constant_USD_recovery_year_1_2,GDP_Constant_USD_recovery_year_3_4,GDP_Constant_USD_recovery_year,GDP_Constant_USD_recovery_year_1_2_str,GDP_Constant_USD_recovery_year_3_4_str,GDP_Constant_USD_recovery_year_str,GDP_Constant_USD_crisis_shock,GDP_Constant_USD_recovery_time_1_2,GDP_Constant_USD_recovery_time_3_4,GDP_Constant_USD_recovery_time,GDP_growth_rate_value_crisis,GDP_growth_rate_value_pre_crisis,GDP_growth_rate_crisis_year,GDP_growth_rate_turn_around_year,GDP_growth_rate_recovery_year_1_2,GDP_growth_rate_recovery_year_3_4,GDP_growth_rate_recovery_year,GDP_growth_rate_recovery_year_1_2_str,GDP_growth_rate_recovery_year_3_4_str,GDP_growth_rate_recovery_year_str,GDP_growth_rate_crisis_shock,GDP_growth_rate_recovery_time_1_2,GDP_growth_rate_recovery_time_3_4,GDP_growth_rate_recovery_time,revenue_deficit_value_crisis,revenue_deficit_value_pre_crisis,revenue_deficit_crisis_year,revenue_deficit_turn_around_year,revenue_deficit_recovery_year_1_2,revenue_deficit_recovery_year_3_4,revenue_deficit_recovery_year,revenue_deficit_recovery_year_1_2_str,revenue_deficit_recovery_year_3_4_str,revenue_deficit_recovery_year_str,revenue_deficit_crisis_shock,revenue_deficit_recovery_time_1_2,revenue_deficit_recovery_time_3_4,revenue_deficit_recovery_time,govt_expenditure_value_crisis,govt_expenditure_value_pre_crisis,govt_expenditure_crisis_year,govt_expenditure_turn_around_year,govt_expenditure_recovery_year_1_2,govt_expenditure_recovery_year_3_4,govt_expenditure_recovery_year,govt_expenditure_recovery_year_1_2_str,govt_expenditure_recovery_year_3_4_str,govt_expenditure_recovery_year_str,govt_expenditure_crisis_shock,govt_expenditure_recovery_time_1_2,govt_expenditure_recovery_time_3_4,govt_expenditure_recovery_time,Total_Revenue_excl_SC_value_crisis,Total_Revenue_excl_SC_value_pre_crisis,Total_Revenue_excl_SC_crisis_year,Total_Revenue_excl_SC_turn_around_year,Total_Revenue_excl_SC_recovery_year_1_2,Total_Revenue_excl_SC_recovery_year_3_4,Total_Revenue_excl_SC_recovery_year,Total_Revenue_excl_SC_recovery_year_1_2_str,Total_Revenue_excl_SC_recovery_year_3_4_str,Total_Revenue_excl_SC_recovery_year_str,Total_Revenue_excl_SC_crisis_shock,Total_Revenue_excl_SC_recovery_time_1_2,Total_Revenue_excl_SC_recovery_time_3_4,Total_Revenue_excl_SC_recovery_time,Tax_Revenue_value_crisis,Tax_Revenue_value_pre_crisis,Tax_Revenue_crisis_year,Tax_Revenue_turn_around_year,Tax_Revenue_recovery_year_1_2,Tax_Revenue_recovery_year_3_4,Tax_Revenue_recovery_year,Tax_Revenue_recovery_year_1_2_str,Tax_Revenue_recovery_year_3_4_str,Tax_Revenue_recovery_year_str,Tax_Revenue_crisis_shock,Tax_Revenue_recovery_time_1_2,Tax_Revenue_recovery_time_3_4,Tax_Revenue_recovery_time,Income_Taxes_value_crisis,Income_Taxes_value_pre_crisis,Income_Taxes_crisis_year,Income_Taxes_turn_around_year,Income_Taxes_recovery_year_1_2,Income_Taxes_recovery_year_3_4,Income_Taxes_recovery_year,Income_Taxes_recovery_year_1_2_str,Income_Taxes_recovery_year_3_4_str,Income_Taxes_recovery_year_str,Income_Taxes_crisis_shock,Income_Taxes_recovery_time_1_2,Income_Taxes_recovery_time_3_4,Income_Taxes_recovery_time,Value_Added_Tax_value_crisis,Value_Added_Tax_value_pre_crisis,Value_Added_Tax_crisis_year,Value_Added_Tax_turn_around_year,Value_Added_Tax_recovery_year_1_2,Value_Added_Tax_recovery_year_3_4,Value_Added_Tax_recovery_year,Value_Added_Tax_recovery_year_1_2_str,Value_Added_Tax_recovery_year_3_4_str,Value_Added_Tax_recovery_year_str,Value_Added_Tax_crisis_shock,Value_Added_Tax_recovery_time_1_2,Value_Added_Tax_recovery_time_3_4,Value_Added_Tax_recovery_time,Excise_Taxes_value_crisis,Excise_Taxes_value_pre_crisis,Excise_Taxes_crisis_year,Excise_Taxes_turn_around_year,Excise_Taxes_recovery_year_1_2,Excise_Taxes_recovery_year_3_4,Excise_Taxes_recovery_year,Excise_Taxes_recovery_year_1_2_str,Excise_Taxes_recovery_year_3_4_str,Excise_Taxes_recovery_year_str,Excise_Taxes_crisis_shock,Excise_Taxes_recovery_time_1_2,Excise_Taxes_recovery_time_3_4,Excise_Taxes_recovery_time,Trade_Taxes_value_crisis,Trade_Taxes_value_pre_crisis,Trade_Taxes_crisis_year,Trade_Taxes_turn_around_year,Trade_Taxes_recovery_year_1_2,Trade_Taxes_recovery_year_3_4,Trade_Taxes_recovery_year,Trade_Taxes_recovery_year_1_2_str,Trade_Taxes_recovery_year_3_4_str,Trade_Taxes_recovery_year_str,Trade_Taxes_crisis_shock,Trade_Taxes_recovery_time_1_2,Trade_Taxes_recovery_time_3_4,Trade_Taxes_recovery_time,Total_Non_Tax_Revenue_value_crisis,Total_Non_Tax_Revenue_value_pre_crisis,Total_Non_Tax_Revenue_crisis_year,Total_Non_Tax_Revenue_turn_around_year,Total_Non_Tax_Revenue_recovery_year_1_2,Total_Non_Tax_Revenue_recovery_year_3_4,Total_Non_Tax_Revenue_recovery_year,Total_Non_Tax_Revenue_recovery_year_1_2_str,Total_Non_Tax_Revenue_recovery_year_3_4_str,Total_Non_Tax_Revenue_recovery_year_str,Total_Non_Tax_Revenue_crisis_shock,Total_Non_Tax_Revenue_recovery_time_1_2,Total_Non_Tax_Revenue_recovery_time_3_4,Total_Non_Tax_Revenue_recovery_time,country_number,Resource_Rich,Oil_Gas_Rich,Region_Code,Reg,IDA,Country,Income_Group,year,ln_GDP_Constant_USD,ln_GDP_PC,Total_Revenue_excl_SC,Tax_Revenue,Income_Taxes,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Total_Non_Tax_Revenue
0,ABW,2390502793.296089,2776274326.822782,2007,2010.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-385771533.52669287,1.0,1.0,10.0,-10.519744,1.8002236,2007,2009.0,2011.0,2011.0,2011.0,2011,2011,2011,-12.319967600000002,4.0,4.0,4.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,21.82689075630253,2008,,,,,Trend,Trend,Trend,,,,,,19.5655462184874,2008,,,,,Trend,Trend,Trend,,,,,,7.0828331332533,2008,,,,,Trend,Trend,Trend,,,,,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,2.194192696876375,2.5063884156729133,2007,2012.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.3121957187965383,1.0,1.0,2.0,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High,2007,21.744375,10.219324,21.292589437819423,18.78620102214651,6.667376490630324,,,,2.5063884156729133
1,AFG,,11421973770.82327,2008,,,,,Trend,Trend,Trend,,,,,0.42635649,13.826323,2007,2011.0,2009.0,2009.0,2009.0,2009,2009,2009,-13.39996651,2.0,2.0,2.0,-48.179249,-16.45149,2007,2011.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,-31.727759000000002,,,10.0,37.02256957364268,50.71929787365118,2008,2015.0,2009.0,2009.0,2010.0,2009,2009,2010,-13.696728300008502,1.0,1.0,2.0,7.786429646601315,7.791767532506813,2007,2008.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.005337885905496442,1.0,1.0,2.0,,6.029074750518348,2008,,,,,Trend,Trend,Trend,,,,,1.909033620131515,2.6086311921340783,2009,2016.0,2010.0,2010.0,2014.0,2010,2010,2014,-0.6995975720025633,1.0,1.0,5.0,1.332666194759898,1.392883759852162,2007,2008.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.060217565092264065,1.0,1.0,2.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,2.184147518342575,3.0766404757950383,2007,2014.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.8924929574524634,1.0,1.0,2.0,1.201591816320666,1.8234245212926468,2007,2014.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.6218327049719807,1.0,1.0,2.0,1.0,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,2007,23.120306,6.0232529999999995,7.791767532506813,5.9683430112141655,1.3234613992561322,1.392883759852162,,3.0766404757950383,1.8234245212926468
2,AGO,,79235785611.29424,2008,,,,,Trend,Trend,Trend,,,,,-2.5800951000000003,14.01002,2007,2016.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-16.590115100000002,1.0,1.0,10.0,-0.96138459,,2008,2016.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,22.385533228240924,2008,,,,,Trend,Trend,Trend,,,,,16.55027894984583,,2008,2016.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,15.70433552049993,46.21162515899358,2008,2016.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-30.50728963849365,1.0,1.0,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,0.8459434293458985,2.18263376158113,2008,2016.0,2009.0,,2017.0,2009,Did not Recover,Did not Recover,-1.3366903322352317,1.0,,9.0,4.0,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,2007,24.989838,8.129915200000001,,41.00400691922642,,,,,1.390237179256703
3,ALB,,11127524202.47875,2008,,,,,Trend,Trend,Trend,,,,,1.0000023,7.5000043,2008,2013.0,2017.0,,2017.0,2017,Did not Recover,Did not Recover,-6.500001999999999,9.0,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,18.86682517379086,22.18144038254204,2008,2013.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-3.3146152087511784,1.0,1.0,9.0,17.08731696494602,19.85575770166081,2008,2013.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-2.7684407367147905,1.0,1.0,9.0,2.9448660426410003,4.181669772438733,2008,2016.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-1.2368037297977326,1.0,1.0,9.0,7.791413474338117,9.909863150472482,2008,2013.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-2.1184496761343654,1.0,1.0,9.0,2.843844477780116,3.008343946751848,2008,2016.0,2009.0,2009.0,2010.0,2009,2009,2010,-0.16449946897173184,1.0,1.0,2.0,,0.8018985311046051,2008,,,,,Trend,Trend,Trend,,,,,1.582450571311611,2.549375530989262,2007,2014.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-0.9669249596776508,1.0,1.0,10.0,2.0,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,2008,23.132687,8.236282300000001,22.18144038254204,19.85575770166081,4.181669772438733,9.909863150472482,3.008343946751848,0.8018985311046051,2.3256826808812168
4,ARE,285215869952.3485,300996902491.4908,2008,2009.0,2009.0,2009.0,2011.0,2009,2009,2011,-15781032539.142271,1.0,1.0,3.0,-5.2429171,3.1918347,2008,2009.0,2010.0,2011.0,2011.0,2010,2011,2011,-8.4347518,2.0,3.0,3.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,26.18513590572135,38.652747328626425,2008,2015.0,2009.0,2010.0,2017.0,2009,2010,Did not Recover,-12.467611422905073,1.0,2.0,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,0.7497108529406687,0.8552603101572324,2007,2008.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.1055494572165636,1.0,1.0,2.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,99.0,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High,2008,26.430366999999997,10.684163,38.652747328626425,,,,,0.7497108529406687,
5,ARG,384677312577.801,408876787794.80896,2008,2009.0,2009.0,2009.0,2010.0,2009,2009,2010,-24199475217.00793,1.0,1.0,2.0,-5.9185228,9.0076542,2007,2009.0,2010.0,2010.0,2010.0,2010,2010,2010,-14.926177,3.0,3.0,3.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,22.735310983237014,23.051706264363126,2008,2009.0,2009.0,2009.0,2012.0,2009,2009,2012,-0.3163952811261055,1.0,1.0,4.0,4.558492670656745,4.930507815112935,2007,2009.0,2008.0,2008.0,2011.0,2008,2008,2011,-0.3720151444561903,1.0,1.0,4.0,12.082992752694347,12.15843697838579,2009,2010.0,2010.0,2010.0,2011.0,2010,2010,2011,-0.0754442256914416,1.0,1.0,2.0,1.415822817922152,1.467595152623247,2007,2011.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.05177233470109499,1.0,1.0,2.0,1.5826512610352743,3.940866405832752,2008,2016.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-2.358215144797477,1.0,1.0,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,5.0,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,2007,26.696909,9.1932631,,22.28640348725724,4.930507815112935,11.7274792080091,1.467595152623247,3.085817855470578,
6,ARM,9060944166.218409,10554389012.52068,2008,2009.0,2009.0,2009.0,2013.0,2009,2009,2013,-1493444846.3022711,1.0,1.0,5.0,-14.149992999999998,13.749199,2007,2009.0,2008.0,,2017.0,2008,Did not Recover,Did not Recover,-27.899192,1.0,,10.0,-4.1639800000000005,2.1398871,2007,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,-6.3038671,,,10.0,21.37364215606825,23.861917994392122,2009,2012.0,2010.0,2010.0,2014.0,2010,2010,2014,-2.4882758383238723,1.0,1.0,5.0,19.69793797845081,20.43433579113454,2008,2009.0,2009.0,2009.0,2011.0,2009,2009,2011,-0.7363978126837303,1.0,1.0,3.0,17.063659742492,17.70869590805526,2008,2009.0,2009.0,2009.0,2011.0,2009,2009,2011,-0.6450361655632619,1.0,1.0,3.0,4.38568941361771,4.52073045762577,2009,2010.0,2010.0,2010.0,2011.0,2010,2010,2011,-0.1350410440080596,1.0,1.0,2.0,7.717888686654997,8.836288580052294,2008,2016.0,2009.0,2009.0,2014.0,2009,2009,2014,-1.1183998933972967,1.0,1.0,6.0,0.9713028556416708,1.319249796778947,2007,2015.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.3479469411372761,1.0,1.0,2.0,0.799302830544459,1.045054550855746,2008,2009.0,2009.0,2009.0,2015.0,2009,2009,2015,-0.24575172031128698,1.0,1.0,7.0,2.5183898988117908,2.814241350403902,2007,2016.0,2008.0,2008.0,2011.0,2008,2008,2011,-0.2958514515921111,1.0,1.0,4.0,5.0,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,2007,23.013084,8.1215286,19.182312465071377,16.36807460752934,3.884443428339176,7.785188995579943,1.319249796778947,0.7623987070060458,2.814241350403902
7,ASM,534555066.07929534,614907488.9867842,2007,2016.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-80352422.90748888,1.0,1.0,10.0,-4.3923893,1.9635396,2007,2012.0,2015.0,,2017.0,2015,Did not Recover,Did not Recover,-6.3559288999999985,8.0,,10.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,3.0,NO,NO,EAP,East Asia & Pacific,NO,American Samoa,Upper-Middle Income,2007,20.236982,9.2704582,,,,,,,
8,ATG,1128507775.484198,1413385625.565579,2007,2011.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-284877850.08138084,1.0,1.0,10.0,-12.107538,-0.030131202000000006,2008,2009.0,2012.0,2012.0,2012.0,2012,2012,2012,-12.077406798,4.0,4.0,4.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,18.030257186081702,20.4659700649534,2007,2009.0,2008.0,2008.0,2010.0,2008,2008,2010,-2.4357128788716977,1.0,1.0,3.0,16.21254078381795,19.51143744704886,2007,2016.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-3.2988966632309094,1.0,1.0,10.0,1.9109755246523392,3.017591339648173,2008,2016.0,2009.0,2009.0,2017.0,2009,2009,Did not Recover,-1.1066158149958345,1.0,1.0,9.0,0.8813532443340577,6.435723951285522,2008,2013.0,2009.0,2009.0,2012.0,2009,2009,2012,-5.554370706951464,1.0,1.0,4.0,,,2008,2009.0,,,2017.0,Did not Recover,Did not Recover,Did not Recover,,,,9.0,5.3417243742098615,6.635994587280107,2008,2016.0,2009.0,2009.0,2010.0,2009,2009,2010,-1.294270213070246,1.0,1.0,2.0,0.680786686838124,1.1799729364005411,2008,2009.0,2009.0,2010.0,2010.0,2009,2010,2010,-0.4991862495624171,1.0,2.0,2.0,4.0,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High,2008,21.068953,9.6342268,19.918809201623823,18.73883626522327,3.0175913396481735,6.435723951285522,,6.635994587280107,1.1799729364005411
9,AUS,,1100090360276.029,2008,,,,,Trend,Trend,Trend,,,,,1.9227319,3.7773278,2007,2009.0,2008.0,2008.0,2012.0,2008,2008,2012,-1.8545959,1.0,1.0,5.0,,8.4931459,2008,,,,,Trend,Trend,Trend,,,,,24.370409568228673,24.50163032524598,2007,2008.0,2008.0,2008.0,2009.0,2008,2008,2009,-0.1312207570173065,1.0,1.0,2.0,32.04221607101463,32.86355533949117,2008,2011.0,2009.0,2009.0,2013.0,2009,2009,2013,-0.8213392684765424,1.0,1.0,5.0,26.295112795762897,27.391022524712373,2008,2010.0,2009.0,2009.0,2013.0,2009,2009,2013,-1.0959097289494757,1.0,1.0,5.0,14.604282353313947,18.234846608400265,2007,2009.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-3.63056425508632,1.0,1.0,10.0,4.285490270940998,5.398517391458193,2007,2011.0,2008.0,2008.0,2017.0,2008,2008,Did not Recover,-1.113027120517195,1.0,1.0,10.0,,2.0422946037919303,2008,,,,,Trend,Trend,Trend,,,,,,0.5095608491330417,2008,,,,,Trend,Trend,Trend,,,,,,5.472532814778805,2008,,,,,Trend,Trend,Trend,,,,,6.0,YES,NO,EAP,East Asia & Pacific,NO,Australia,High,2007,27.690489000000003,10.838699,35.79234634301688,30.744223488199292,18.234846608400268,5.398517391458193,2.154647747779626,0.5378436714907471,5.048122854817593
