Country_Code,year,GDP_Constant_USD
ABW,1986,981607427.198877
ABW,1987,1139434503.7288926
ABW,1988,1351923640.9107673
ABW,1989,1515909822.8663445
ABW,1990,1575961100.7655697
ABW,1991,1701452873.8113868
ABW,1992,1801538336.9767625
ABW,1993,1933189215.4481413
ABW,1994,2091786180.156352
ABW,1995,2145066984.4277112
ABW,1996,2170502935.0030136
ABW,1997,2323455541.521604
ABW,1998,2369738447.1972575
ABW,1999,2399076806.9701953
ABW,2000,2581804607.8140316
ABW,2001,2505092564.794573
ABW,2002,2423084691.9637628
ABW,2003,2470953875.24177
ABW,2004,2666444959.292544
ABW,2005,2698824916.2910776
ABW,2006,2727178974.028193
ABW,2007,2776274358.207612
ABW,2008,2773756053.9767356
ABW,2009,2481963892.1005044
ABW,2010,2390502793.296089
ABW,2011,2472880828.3629756
ABW,2012,2439005748.5223866
ABW,2013,2541400876.222348
ABW,2014,2549025078.851015
ABW,2015,2694319530.67228
ABW,2016,2750900229.6530194
ABW,2017,2805918209.6096582
AFG,2002,7465114629.457832
AFG,2003,8124454291.896373
AFG,2004,8239343660.832765
AFG,2005,9164598458.537924
AFG,2006,9655582953.980183
AFG,2007,10990594706.556444
AFG,2008,11421973770.823273
AFG,2009,13865194314.71851
AFG,2010,15856574731.44105
AFG,2011,15924179997.791433
AFG,2012,17954877146.656403
AFG,2013,18960483969.89409
AFG,2014,19477070577.85842
AFG,2015,19759744157.43774
AFG,2016,20206376461.41028
AFG,2017,20741239893.4132
AFG,2018,20987900552.523914
AFG,2019,21808863988.03027
AGO,1980,26637104502.15638
AGO,1981,25465071579.258854
AGO,1982,25465071579.258854
AGO,1983,26534604949.315945
AGO,1984,28126681820.582726
AGO,1985,29111115540.726166
AGO,1986,29955338398.712425
AGO,1987,31178339568.741367
AGO,1988,33089225853.207302
AGO,1989,33102998072.720352
AGO,1990,31960911971.979694
AGO,1991,32277759445.64564
AGO,1992,30393293234.84401
AGO,1993,23103942843.942657
AGO,1994,23413388606.779644
AGO,1995,26925396904.55448
AGO,1996,30572272219.33628
AGO,1997,32796184094.175266
AGO,1998,34334701120.351448
AGO,1999,35083709095.136856
AGO,2000,36155384575.45097
AGO,2001,37676079528.68123
AGO,2002,42824774451.23571
AGO,2003,44105170974.61784
AGO,2004,48935949384.32106
AGO,2005,56290491777.120094
AGO,2006,62790739426.97196
AGO,2007,71587733475.37476
AGO,2008,79581318822.80551
AGO,2009,80264693646.79854
AGO,2010,83799496611.2004
AGO,2011,86708995310.38507
AGO,2012,94115840392.85797
AGO,2013,98778851724.42079
AGO,2014,103542587859.42175
AGO,2015,104519586272.32321
AGO,2016,101822929058.74231
AGO,2017,101673032530.17528
AGO,2018,99635881425.75124
AGO,2019,99013511554.0281
ALB,1980,5323398063.85534
ALB,1981,5629261101.74622
ALB,1982,5795245314.544259
ALB,1983,5859279197.391396
ALB,1984,5785944655.553325
ALB,1985,5888971729.578225
ALB,1986,6220947386.673054
ALB,1987,6171936109.614931
ALB,1988,6084292169.38809
ALB,1989,6682776548.136801
ALB,1990,6042857912.556395
ALB,1991,4350728279.80877
ALB,1992,4038036612.669059
ALB,1993,4424049156.84258
ALB,1994,4791372056.261168
ALB,1995,5429694612.201466
ALB,1996,5923796791.701104
ALB,1997,5276919124.81347
ALB,1998,5742875711.8515415
ALB,1999,6483126460.624594
ALB,2000,6933706092.265776
ALB,2001,7508515182.798763
ALB,2002,7849398816.77983
ALB,2003,8283474557.110243
ALB,2004,8739893896.958439
ALB,2005,9223202583.880383
ALB,2006,9767379279.888626
ALB,2007,10351466806.238798
