Country_Code,year,GDP_Constant_USD
ABW,1986,981607427.198877
ABW,1987,1139434503.7288926
ABW,1988,1351923640.9107673
ABW,1989,1515909822.8663445
ABW,1990,1575961100.7655697
ABW,1991,1701452873.8113868
ABW,1992,1801538336.9767625
ABW,1993,1933189215.4481413
ABW,1994,2091786180.156352
ABW,1995,2145066984.4277112
ABW,1996,2170502935.0030136
ABW,1997,2323455541.521604
ABW,1998,2369738447.1972575
ABW,1999,2399076806.9701953
ABW,2000,2581804607.8140316
ABW,2001,2505092564.794573
ABW,2002,2423084691.9637628
ABW,2003,2470953875.24177
ABW,2004,2666444959.292544
ABW,2005,2698824916.2910776
ABW,2006,2727178974.028193
ABW,2007,2776274358.207612
ABW,2008,2773756053.9767356
ABW,2009,2481963892.1005044
ABW,2010,2390502793.296089
ABW,2011,2472880828.3629756
ABW,2012,2439005748.5223866
ABW,2013,2541400876.222348
ABW,2014,2549025078.851015
ABW,2015,2694319530.67228
ABW,2016,2750900229.6530194
ABW,2017,2805918209.6096582
AFE,1960,154443036827.87924
AFE,1961,156085841958.59277
AFE,1962,167719798000.35388
AFE,1963,177347787155.92383
AFE,1964,187055716538.0279
AFE,1965,197519870220.2679
AFE,1966,205536638332.69556
AFE,1967,217484519333.2832
AFE,1968,226285266487.019
AFE,1969,238003954766.965
AFE,1970,249561347735.06116
AFE,1971,262291379887.56354
AFE,1972,268071976898.4119
AFE,1973,280024562893.5706
AFE,1974,296376099621.8318
AFE,1975,300588409963.7153
AFE,1976,307936774162.5703
AFE,1977,310225135847.0222
AFE,1978,315336223418.037
AFE,1979,325346225562.2594
AFE,1980,343914692169.3975
AFE,1981,358295419233.9225
AFE,1982,359027862905.97626
AFE,1983,358425137309.88275
AFE,1984,371328304459.5229
AFE,1985,370174697301.8051
AFE,1986,376843965619.3588
AFE,1987,390511186084.37537
AFE,1988,407087702914.98267
AFE,1989,417862183848.4166
AFE,1990,418083554847.9819
AFE,1991,417720215619.5325
AFE,1992,408716328431.1079
AFE,1993,405994143828.8607
AFE,1994,414468301945.39984
AFE,1995,432327526883.39667
AFE,1996,455719081056.785
AFE,1997,471365864767.59503
AFE,1998,479179613904.3727
AFE,1999,491985000346.0541
AFE,2000,508751612506.6719
AFE,2001,525973225726.94244
AFE,2002,547419600659.0382
AFE,2003,564699708935.449
AFE,2004,595326106274.2417
AFE,2005,632905121112.022
AFE,2006,676145901474.2668
AFE,2007,724180992348.5153
AFE,2008,758918649729.481
AFE,2009,766806859735.873
AFE,2010,803688606377.6525
AFE,2011,837459536244.9109
AFE,2012,864601396369.7517
AFE,2013,903251720968.3468
AFE,2014,940203009774.6451
AFE,2015,966183101543.0226
AFE,2016,985550617559.1757
AFE,2017,1013464245342.2067
AFE,2018,1037643771252.1394
AFE,2019,1055002768477.9504
AFE,2020,1017284599324.3768
AFG,2002,7465114629.203963
AFG,2003,8124454292.286968
AFG,2004,8239343661.258997
AFG,2005,9164598457.75828
AFG,2006,9655582953.499466
AFG,2007,10990594706.870234
AFG,2008,11421973771.014244
AFG,2009,13865194313.556238
AFG,2010,15856574731.44105
AFG,2011,15924179996.470999
AFG,2012,17954877146.145035
AFG,2013,18960483968.772854
AFG,2014,19477070576.516582
AFG,2015,19759744157.151115
AFG,2016,20206376460.476643
AFG,2017,20741239892.385117
AFG,2018,20987900551.360203
AFG,2019,21808863986.99231
AFG,2020,21386910830.240692
AFW,1960,101480180319.54338
AFW,1961,103406878903.82938
AFW,1962,107352961188.16246
AFW,1963,114911563026.56674
AFW,1964,120925156706.52074
AFW,1965,125973977963.30453
