Country_Code,year,GDP_Current_LCU
ABW,1986,725779516.640253
ABW,1987,872808399.366085
ABW,1988,1067598256.7353401
ABW,1989,1244594809.82567
ABW,1990,1369147939.77813
ABW,1991,1561128300.0
ABW,1992,1715649100.0
ABW,1993,1938533700.0
ABW,1994,2229782000.0
ABW,1995,2363650000.0
ABW,1996,2470130000.0
ABW,1997,2742180000.0
ABW,1998,2980530000.0
ABW,1999,3083810000.0
ABW,2000,3353480000.0
ABW,2001,3437000000.0
ABW,2002,3475000000.0
ABW,2003,3618000000.0
ABW,2004,3989000000.0
ABW,2005,4172000000.0
ABW,2006,4340000000.0
ABW,2007,4681000000.0
ABW,2008,4914000000.0
ABW,2009,4473000000.0
ABW,2010,4279000000.0
ABW,2011,4564000000.0
ABW,2012,4537000000.0
ABW,2013,4882851000.0
ABW,2014,4995620000.0
ABW,2015,5303600000.0
ABW,2016,5340710000.0
ABW,2017,5535450000.0
ABW,2018,5731917606.40279
AFG,1960,24200001500.0
AFG,1961,24700000300.0
AFG,1962,24600000500.0
AFG,1963,33800003599.999996
AFG,1964,36000002000.0
AFG,1965,45299998700.0
AFG,1966,62999998500.0
AFG,1967,75300003800.0
AFG,1968,61800001500.0
AFG,1969,63400001500.0
AFG,1970,78699896800.0
AFG,1971,82399903700.0
AFG,1972,71799996400.0
AFG,1973,77999996900.0
AFG,1974,96999997400.0
AFG,1975,106499997700.0
AFG,1976,115000000500.0
AFG,1977,132900003800.0
AFG,1978,148500004900.0
AFG,1979,161599995900.0
AFG,1980,160599998500.0
AFG,1981,172200001500.0
AFG,2002,182162721300.0
AFG,2003,221358563000.0
AFG,2004,249791940700.0
AFG,2005,308163225800.0
AFG,2006,348048404600.0
AFG,2007,485419056200.0
AFG,2008,515046858600.0
AFG,2009,611692107000.0
AFG,2010,726231122700.0
AFG,2011,850347275400.0
AFG,2012,1028794220100.0
AFG,2013,1138809791300.0
AFG,2014,1176469485800.0
AFG,2015,1222756495400.0
AFG,2016,1222916881100.0
AFG,2017,1285460326500.0
AFG,2018,1327690394700.0
AFG,2019,1469596303300.0
AFG,2020,1520390483500.0
AGO,1980,177.4288007461
AGO,1981,166.0593514683
AGO,1982,166.0593514683
AGO,1983,173.05593188
AGO,1984,183.4414710018
AGO,1985,226.0025289364
AGO,1986,211.5961352958
AGO,1987,241.8694506132
AGO,1988,262.3759764481
AGO,1989,305.2168832638
AGO,1990,335.9646476978
AGO,1991,700.0
AGO,1992,3800.0
AGO,1993,29400.0
AGO,1994,678100.0
AGO,1995,15015300.0
AGO,1996,835493000.0
AGO,1997,1751785000.0
AGO,1998,2555800000.0
AGO,1999,17171000000.0
AGO,2000,91666100000.0
AGO,2001,197110800000.0
AGO,2002,665385000000.0
AGO,2003,1328940035000.0
AGO,2004,1967571431000.0
AGO,2005,3222352000000.0
AGO,2006,4209762000000.0
AGO,2007,5006335000000.0
AGO,2008,6643353030000.0
AGO,2009,5577340741700.0
AGO,2010,7701651395700.0
AGO,2011,10500941840100.0
AGO,2012,12224949831600.0
AGO,2013,13195003553700.0
AGO,2014,14323859000000.0
AGO,2015,13950290849400.0
AGO,2016,16549565423600.0
AGO,2017,20262296106300.0
AGO,2018,25627742117300.0
AGO,2019,32621698000000.0
AGO,2020,36029521000000.0
ALB,1980,14991970000.0
ALB,1981,15514160000.0
ALB,1982,15968780000.0
ALB,1983,16142520000.0
ALB,1984,15935960000.0
ALB,1985,16276690000.0
ALB,1986,16778610000.0
ALB,1987,16646369999.999998
ALB,1988,16409890000.0
ALB,1989,18024720000.0
ALB,1990,16228430000.0
ALB,1991,15833650000.0
ALB,1992,48934320000.0
ALB,1993,120976260000.0
ALB,1994,177981840000.0
ALB,1995,221803320000.0
ALB,1996,334359130000.0
ALB,1997,331324240000.0
ALB,1998,384848410000.0
ALB,1999,443593640000.0
ALB,2000,501198990000.0
ALB,2001,563448810000.0
ALB,2002,610494270000.0
ALB,2003,677737520000.0
ALB,2004,737655550000.0
ALB,2005,804163210000.0
ALB,2006,872735100000.0
ALB,2007,965527760000.0
ALB,2008,1080676050000.0
ALB,2009,1143937450000.0
ALB,2010,1239645590000.0
ALB,2011,1300624080000.0
ALB,2012,1332810980000.0
ALB,2013,1350052650000.0
ALB,2014,1395304630000.0
ALB,2015,1434306520000.0
ALB,2016,1472479120000.0
ALB,2017,1550645490000.0
ALB,2018,1635714630000.0
ALB,2019,1679246620400.0
ALB,2020,1607978180300.0
AND,1970,33075100.0
AND,1971,37328600.0
AND,1972,43809600.0
AND,1973,52817200.0
AND,1974,64679900.0
AND,1975,75943900.0
AND,1976,91389700.0
AND,1977,115960200.0
AND,1978,141930500.0
AND,1979,166030700.0
AND,1980,192360700.0
AND,1981,215833200.0
AND,1982,248204100.0
AND,1983,282616900.0
AND,1984,318914300.0
AND,1985,354366200.0
AND,1986,405699900.0
AND,1987,453657900.0
AND,1988,505070300.0
AND,1989,565962200.0
AND,1990,630395100.0
AND,1991,691276900.0
AND,1992,744521400.0
AND,1993,770274000.0
AND,1994,819228800.0
AND,1995,883347000.0
AND,1996,931789600.0
AND,1997,1038925600.0
AND,1998,1088194100.0
AND,1999,1163747900.0
AND,2000,1551090000.0
AND,2001,1728690000.0
AND,2002,1865830000.0
AND,2003,2092489999.9999998
AND,2004,2331570000.0
AND,2005,2540880000.0
AND,2006,2755130000.0
AND,2007,2887770000.0
AND,2008,2789260000.0
AND,2009,2644840000.0
AND,2010,2602310000.0
AND,2011,2607220000.0
AND,2012,2481850000.0
AND,2013,2404540000.0
AND,2014,2462690000.0
AND,2015,2514510000.0
AND,2016,2616860000.0
AND,2017,2655760000.0
AND,2018,2725270000.0
AND,2019,2818420000.0
AND,2020,2507690000.0
ARE,1975,58313000000.0
ARE,1976,75951000000.0
ARE,1977,97082000000.0
ARE,1978,92041000000.0
ARE,1979,119147000000.0
ARE,1980,161638000000.0
ARE,1981,181103000000.0
ARE,1982,171152000000.0
ARE,1983,157131000000.0
ARE,1984,153477000000.0
ARE,1985,149056000000.0
ARE,1986,124607000000.0
ARE,1987,133569000000.0
ARE,1988,133168000000.0
ARE,1989,152218000000.0
ARE,1990,186125000000.0
ARE,1991,189248000000.0
ARE,1992,199112000000.0
ARE,1993,204200000000.0
ARE,1994,217709000000.0
ARE,1995,241345000000.0
ARE,1996,270080000000.0
ARE,1997,289418000000.0
ARE,1998,277914000000.0
ARE,1999,310126000000.0
ARE,2000,383179000000.0
ARE,2001,379412000000.0
ARE,2002,403300000000.0
ARE,2003,456662000000.0
ARE,2004,542885000000.0
ARE,2005,663317651100.0
ARE,2006,815723000000.0
ARE,2007,947197000000.0
ARE,2008,1158580526300.0
ARE,2009,931152675000.0
ARE,2010,1064244000000.0
ARE,2011,1287821000000.0
ARE,2012,1375684000000.0
ARE,2013,1432670000000.0
ARE,2014,1480521000000.0
ARE,2015,1315251000000.0
ARE,2016,1311248000000.0
ARE,2017,1416136223900.0
ARE,2018,1550584747600.0
ARE,2019,1546644979000.0
ARG,1960,0.1315089166
ARG,1961,0.1668071896
ARG,1962,0.2131359279
ARG,1963,0.2534708977
ARG,1964,0.359472096
ARG,1965,0.4818600118
ARG,1966,0.6012399793
ARG,1967,0.8004699945
ARG,1968,0.9252899885
ARG,1969,1.0939699411
ARG,1970,1.2001999617
ARG,1971,1.664659977
ARG,1972,2.7786400318
ARG,1973,4.7289600372
ARG,1974,6.5193099976
ARG,1975,19.402299881
ARG,1976,102.3389968872
ARG,1977,283.9049987793
ARG,1978,708.6110229492
ARG,1979,1932.1400146484
ARG,1980,3840.3999023438
ARG,1981,7474.2998046875
ARG,1982,21852.5
ARG,1983,109490.0
ARG,1984,790920.0
ARG,1985,5305000.0
ARG,1986,9984100.0
ARG,1987,23332300.0
ARG,1988,111062000.0
ARG,1989,3244039936.0
ARG,1990,68921999360.0
ARG,1991,180898005000.0
ARG,1992,226638004200.0
ARG,1993,236504973300.0
ARG,1994,257440000000.0
ARG,1995,258031750000.0
ARG,1996,272149750000.0
ARG,1997,292859000000.0
ARG,1998,298948250000.0
ARG,1999,283523000000.0
ARG,2000,284203750000.0
ARG,2001,268696750000.0
ARG,2002,312580000000.0
ARG,2003,375909500000.0
ARG,2004,485115194700.0
ARG,2005,582538172900.0
ARG,2006,715904271700.0
ARG,2007,896980174100.0
ARG,2008,1149646090600.0
ARG,2009,1247929268900.0
ARG,2010,1661720925900.0
ARG,2011,2179024103600.0
ARG,2012,2637913848200.0
ARG,2013,3348308488200.0
ARG,2014,4579086425400.0
ARG,2015,5954510895700.0
ARG,2016,8228159556500.0
ARG,2017,10660228494800.0
ARG,2018,14542722148100.0
ARG,2019,21447249859800.0
ARG,2020,27021238150100.0
ARM,1990,50310000.0
ARM,1991,79690000.0
ARM,1992,310190000.0
ARM,1993,4218410000.0
ARM,1994,187065008100.0
ARM,1995,522255990800.0
ARM,1996,661209022500.0
ARM,1997,804334993400.0
ARM,1998,955384987600.0
ARM,1999,987443691500.0
ARM,2000,1031338300000.0
ARM,2001,1175876800000.0
ARM,2002,1362471700000.0
ARM,2003,1624642700000.0
ARM,2004,1907945400000.0
ARM,2005,2242880900000.0
ARM,2006,2656189800000.0
ARM,2007,3149283400000.0
ARM,2008,3568227600000.0
ARM,2009,3141651000000.0
ARM,2010,3460202700000.0
ARM,2011,3777945600000.0
ARM,2012,4266460500000.0
ARM,2013,4555638200000.0
ARM,2014,4828626300000.0
