Country_Code,year,GDP_PC_Constant_USD
ABW,1986,15669.616039826273
ABW,1987,18427.611529909474
ABW,1988,22134.01727125145
ABW,1989,24837.950957962126
ABW,1990,25357.786943725074
ABW,1991,26329.313141211765
ABW,1992,26401.96874004195
ABW,1993,26663.207760235866
ABW,1994,27272.310041151915
ABW,1995,26705.181320996355
ABW,1996,26087.775661093914
ABW,1997,27190.501474782086
ABW,1998,27151.923727869398
ABW,1999,26954.404887031014
ABW,2000,28417.38421201316
ABW,2001,26966.054864416594
ABW,2002,25508.302719847594
ABW,2003,25469.28760157261
ABW,2004,27005.529429621558
ABW,2005,26979.88539843726
ABW,2006,27046.224230202046
ABW,2007,27427.57857192717
ABW,2008,27365.931194150788
ABW,2009,24463.692199502286
ABW,2010,23512.602595639666
ABW,2011,24233.00108150222
ABW,2012,23781.257298385204
ABW,2013,24635.764947530977
ABW,2014,24563.234325081572
ABW,2015,25822.251374553434
ABW,2016,26231.0266768348
ABW,2017,26630.205280732476
AFG,2002,330.3035529080572
AFG,2003,343.0808897145875
AFG,2004,333.21668448679833
AFG,2005,357.2347199080264
AFG,2006,365.28449495100557
AFG,2007,405.54897905179604
AFG,2008,412.0142866633054
AFG,2009,488.3002509901548
AFG,2010,543.303041863931
AFG,2011,528.7366480577675
AFG,2012,576.190125450699
AFG,2013,587.5650901501748
AFG,2014,583.6561928331229
AFG,2015,574.184114271259
AFG,2016,571.0737745235605
AFG,2017,571.4406909063489
AFG,2018,564.6099917429007
AFG,2019,573.2875510427376
AGO,1980,3193.4038614603064
AGO,1981,2947.194112347772
AGO,1982,2844.3218804147073
AGO,1983,2859.919206410016
AGO,1984,2925.3667665946236
AGO,1985,2922.216854785859
AGO,1986,2902.617849625108
AGO,1987,2916.793934910435
AGO,1988,2989.6165858671857
AGO,1989,2889.885859211432
AGO,1990,2697.4907782359296
AGO,1991,2635.155549517923
AGO,1992,2401.2336559473756
AGO,1993,1767.0253353499982
AGO,1994,1733.8438439923116
AGO,1995,1930.7995094912533
AGO,1996,2122.9684586815615
AGO,1997,2205.294000174512
AGO,1998,2235.3901719420605
AGO,1999,2211.129939696159
AGO,2000,2205.2053378058063
AGO,2001,2223.334633089555
AGO,2002,2444.4177823517593
AGO,2003,2433.861550407549
AGO,2004,2608.784044708102
AGO,2005,2896.554729129479
AGO,2006,3116.181038654828
AGO,2007,3424.371701910881
AGO,2008,3668.0798921481396
AGO,2009,3565.0569363862223
AGO,2010,3587.883798243964
AGO,2011,3579.9599073858913
AGO,2012,3748.4506546102093
AGO,2013,3796.8821893643317
AGO,2014,3843.1978771491576
AGO,2015,3748.32011771476
AGO,2016,3530.3106715337804
AGO,2017,3409.930302599575
AGO,2018,3233.906234840478
AGO,2019,3111.157698743346
ALB,1980,1992.2919314113526
ALB,1981,2064.983662018029
ALB,1982,2081.417629469564
ALB,1983,2060.2537297962685
ALB,1984,1992.1108953096546
ALB,1985,1986.3219137246851
ALB,1986,2058.120608896891
ALB,1987,2001.532657268013
ALB,1988,1936.2322073094954
ALB,1989,2070.2895150678933
ALB,1990,1838.667484716883
ALB,1991,1331.805313414321
ALB,1992,1243.6058244662472
ALB,1993,1370.8260705795858
ALB,1994,1493.785901782916
ALB,1995,1703.2818447553113
ALB,1996,1869.8658731462406
ALB,1997,1676.1271070827127
ALB,1998,1835.6466813012953
ALB,1999,2085.42599716821
ALB,2000,2244.6246317257105
ALB,2001,2453.6244136520268
ALB,2002,2572.7214321748634
ALB,2003,2725.1713891196264
ALB,2004,2887.3703424345317
ALB,2005,3062.673882995471
ALB,2006,3263.9017131188334
ALB,2007,3485.322409346074
ALB,2008,3775.581314291726
ALB,2009,3928.450391496945
ALB,2010,4094.3503344202027
ALB,2011,4209.874800894353
ALB,2012,4276.607903883666
ALB,2013,4327.37995998728
ALB,2014,4413.2968912790775
ALB,2015,4524.3730858712015
ALB,2016,4681.826562992665
ALB,2017,4864.310616304495
ALB,2018,5074.857221943522
ALB,2019,5210.688290384131
AND,1970,41701.544426870525
AND,1971,41449.79855652427
AND,1972,42605.794994475946
