Country_Code,year,GDP_PC_Constant_USD
ABW,1986,15669.365906279463
ABW,1987,18426.121539003405
ABW,1988,22136.55424598453
ABW,1989,24837.54399859657
ABW,1990,25356.562954781337
ABW,1991,26328.905711764957
ABW,1992,26400.03424643556
ABW,1993,26666.51790396774
ABW,1994,27270.532301106214
ABW,1995,26705.181320996355
ABW,1996,26084.32701208991
ABW,1997,27190.819678427197
ABW,1998,27150.99045826372
ABW,1999,26953.193575595673
ABW,2000,28413.318598970258
ABW,2001,26967.79663259024
ABW,2002,25508.302719847594
ABW,2003,25469.550128244515
ABW,2004,27003.61499729142
ABW,2005,26980.694568431616
ABW,2006,27047.297173739888
ABW,2007,27426.49475636311
ABW,2008,27364.851265530826
ABW,2009,24464.415606400114
ABW,2010,23513.527696809022
ABW,2011,24232.05123334616
ABW,2012,23780.097972236013
ABW,2013,24634.332149685924
ABW,2014,24562.760935582555
ABW,2015,25822.746342904185
ABW,2016,26232.777663214794
ABW,2017,26631.469040818312
AFE,1960,1180.425370711965
AFE,1961,1163.432401111558
AFE,1962,1218.764174547833
AFE,1963,1255.9860479343502
AFE,1964,1290.7499065591035
AFE,1965,1327.6863933596433
AFE,1966,1345.5518452616489
AFE,1967,1386.3426523733333
AFE,1968,1404.1342718191202
AFE,1969,1437.1198927356668
AFE,1970,1465.7903680945958
AFE,1971,1497.950483893962
AFE,1972,1488.1218415373478
AFE,1973,1510.571660188792
AFE,1974,1553.3273751218092
AFE,1975,1530.413453387113
AFE,1976,1522.88819579245
AFE,1977,1490.0840508241868
AFE,1978,1471.001480232382
AFE,1979,1473.8862897070044
AFE,1980,1513.00350797863
AFE,1981,1530.7949345579682
AFE,1982,1489.7475229349839
AFE,1983,1444.4106229026545
AFE,1984,1453.1687586971827
AFE,1985,1406.644840629812
AFE,1986,1390.311290349105
AFE,1987,1398.7565059275896
AFE,1988,1415.8377652955553
AFE,1989,1411.5790674046448
AFE,1990,1372.3495349534103
AFE,1991,1332.8886064434168
AFE,1992,1268.2416478402197
AFE,1993,1225.585057929791
AFE,1994,1217.6637355638004
AFE,1995,1236.614781589625
AFE,1996,1269.5765898563711
AFE,1997,1279.353785336847
AFE,1998,1267.3410487210738
AFE,1999,1268.0745120259376
AFE,2000,1277.9074189457401
AFE,2001,1287.5024102475056
AFE,2002,1305.7934903502567
AFE,2003,1312.5023254056339
AFE,2004,1348.0196214462742
AFE,2005,1395.8964081126214
AFE,2006,1452.2614995736274
AFE,2007,1514.4941560971274
AFE,2008,1545.1142520276983
AFE,2009,1519.619025120467
AFE,2010,1550.1212252248777
AFE,2011,1571.9252003690704
AFE,2012,1579.2300632609056
AFE,2013,1605.490912733179
AFE,2014,1626.4367134260278
AFE,2015,1626.9218795667587
AFE,2016,1615.7125160171934
AFE,2017,1617.9370451053126
AFE,2018,1613.5277486510508
AFE,2019,1598.3769823912444
AFE,2020,1502.096219817122
AFG,2002,330.3034944380207
AFG,2003,343.0808897310816
AFG,2004,333.2166171240718
AFG,2005,357.2347616525137
AFG,2006,365.2843705597538
AFG,2007,405.54888927572864
AFG,2008,412.01421235915774
AFG,2009,488.3003713269335
AFG,2010,543.3029674019087
AFG,2011,528.7366831256179
AFG,2012,576.1900884532461
AFG,2013,587.5650354913955
AFG,2014,583.656017892664
AFG,2015,574.1841142629302
AFG,2016,571.0753884737237
AFG,2017,571.4452408519777
AFG,2018,564.6170394783516
AFG,2019,573.2875058055891
AFG,2020,549.391787084908
AFW,1960,1052.7380723504198
AFW,1961,1050.8058032024842
AFW,1962,1068.114697610618
AFW,1963,1118.9995587316935
AFW,1964,1152.1787388880114
AFW,1965,1174.1460036495014
AFW,1966,1127.7018567823065
AFW,1967,998.9668728601794
AFW,1968,990.3609361702219
AFW,1969,1113.9006750258666
AFW,1970,1279.653102054857
AFW,1971,1382.1607732886869
AFW,1972,1392.2755895747332
AFW,1973,1413.898879108756
AFW,1974,1523.7923094879502
AFW,1975,1456.5821055501801
AFW,1976,1543.129975862399
AFW,1977,1567.4147678090828
AFW,1978,1486.4261974030578
AFW,1979,1521.4204077364336
AFW,1980,1513.9819810593006
AFW,1981,1375.2251738050477
AFW,1982,1296.5801889367667
AFW,1983,1183.5486484768257
AFW,1984,1160.3169188372285
AFW,1985,1190.8961727325539
AFW,1986,1174.2767032361828
AFW,1987,1156.4442668428085
AFW,1988,1180.6691625754654
AFW,1989,1175.8994439951362
AFW,1990,1218.465292493272
AFW,1991,1200.923109091592
AFW,1992,1200.9295557816044
AFW,1993,1156.0568386461305
AFW,1994,1123.3657029960364
AFW,1995,1115.9921764887938
AFW,1996,1136.6297453771374
