,Country_Code,year,BCA,BCA_NGDPD,FLIBOR6,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,GGX_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TMG_RPCH,TM_RPCH,TXG_RPCH,TX_RPCH,country_number,Resource_Rich,Oil_Gas_Rich,Region_Code,Reg,IDA,Country,Income_Group,Country_Code2,Small_States,IBRD_IDA,_merge
0,ABW,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
1,ABW,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
2,ABW,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
3,ABW,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
4,ABW,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
5,ABW,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
6,ABW,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
7,ABW,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
8,ABW,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
9,ABW,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,NO,NO,LAC,Latin America & the Caribbean,NO,Aruba,High Income,AW,NO,NONE,both
