year,Country_Code,agri_val_lcu,agri_vol_lcu,manu_val_lcu,manu_vol_lcu,serv_val_lcu,serv_vol_lcu,gdp_val_usd,gdp_val_lcu,gdp_vol_usd15,gdp_vol_lcu
1980,AFG,,,,,,,4672.75,160600,,
1981,AFG,,,,,,,4465.57,172200,,
1982,AFG,,,,,,,4335.67,170289.4,,
1983,AFG,,,,,,,4287.02,168378.7,,
1984,AFG,,,,,,,4238.37,166468.1,,
1985,AFG,,,,,,,4189.73,164557.4,,
1986,AFG,,,,,,,4141.08,162646.8,,
1987,AFG,,,,,,,4092.43,160736.1,,
1988,AFG,,,,,,,4043.79,158825.5,,
1989,AFG,,,,,,,3995.14,156914.8,,
1990,AFG,,,,,,,3946.5,155004.2,,
1991,AFG,,,,,,,3897.85,153093.5,,
1992,AFG,,,,,,,3849.2,151182.9,,
1993,AFG,,,,,,,3800.56,149272.2,,
1994,AFG,,,,,,,3796.17,147361.6,,
1995,AFG,,,,,,,3977.64,145450.9,,
1996,AFG,,,,,,,3021.9,143540.3,,
1997,AFG,,,,,,,2981.68,141629.6,,
1998,AFG,,,,,,,2941.45,139719,,
1999,AFG,,,,,,,2956.02,137808.3,,
2000,AFG,,,,,,,2869.61,135897.7,,
2001,AFG,,,,,,,4081.24,133987,,
2002,AFG,70365.62,70365.62,43373.18,43373.18,65853.93,65853.93,4055.18,182162.7,6939.25,185470.3
2003,AFG,82829.84,72334.67,50272.44,47827.47,82887.28,73461.26,4515.56,221358.6,7525.21,201131.7
2004,AFG,74240.83,56250.07,65512.41,56185.83,102691.7,82855.37,5226.77,249791.9,7604.65,203254.7
2005,AFG,95884.54,66205.27,82625.03,63485.34,120207.66,87319.84,6209.14,308163.2,8454.49,225969
2006,AFG,99667.03,62822.68,98187.13,72162.23,138631.24,93197.34,6971.29,348048.4,8924.06,238519.6
2007,AFG,146135.46,72057.89,130491.52,77670.46,195598.08,111539.64,9747.89,485419.1,10150.24,271292.7
2008,AFG,128206.85,61309.5,138628.1,82130.16,233881.91,128108.24,10109.22,515046.9,10516.81,281090.1
2009,AFG,179210.5,88630.82,133942.97,87145.96,276756.64,151146.43,12439.09,611692.1,12727.51,340177.1
2010,AFG,190345.68,82980.49,153608.2,92610.54,354977.25,178889.98,15856.57,726231.08,13800.86,368865.19
2011,AFG,201903.6,76680.34,193371.12,101693.47,422595.56,196404.53,17804.28,850347.27,14644.59,391416.38
2012,AFG,250931.9,90655.17,217670.3,108195.83,520357.92,223228.16,19907.32,1028793.94,16758.51,447916.36
2013,AFG,259770.06,90659.95,232825.17,113671.61,599956.24,240699.23,20561.06,1138809.93,17412.18,465387.66
2014,AFG,260435.54,90568.65,249760.51,116815.51,623421.36,251603.28,20484.86,1176468.92,17880.66,477908.95
2015,AFG,252307.52,85444.98,270523.17,121688.03,650938.01,256975.28,18114.9,1222755.91,18114.9,484169.75
2016,AFG,277047.36,90547.54,286800.51,120756,693393.82,262062.06,19703.13,1314198.91,18543.63,495628.64
2017,AFG,281517.82,94022.45,304367.22,121259.71,724278.14,268607.03,19864.1,1376582.14,19040.66,508913.24
2018,AFG,301684.85,94774.63,321704.35,124291.2,730111.67,271292.17,19527.86,1411864,19386.49,518156.28
2019,AFG,333885.21,101835.34,341096.72,126714.88,784744.04,276189.16,19373.49,1504351.6,19957.23,533410.8
2020,AFG,360924.8,106876.19,345930.85,122976.79,767600.62,255504.67,18896.48,1540062.78,19190.87,512927.83
2021,AFG,388481.29,111685.62,372342.6,126666.1,839096.31,263023,19609,1678530.08,19824.17,529854.44
2022,AFG,417941.65,116655.63,400770.88,130466.08,949278.95,280324.77,20596.35,1851611.44,20855.02,557406.87
1980,AGO,,,,,,,5785.95,0,24184.35,338376.7
1981,AGO,,,,,,,5418.06,0,23120.23,323488.1
1982,AGO,,,,,,,5418.06,0,23120.23,323488.1
1983,AGO,,,,,,,5618.73,0,24091.28,337074.6
1984,AGO,,,,,,,5953.18,0,25536.76,357299.1
1985,AGO,0,47964.43,0,149307,0,154717.17,7357.86,0,26430.55,369804.6
1986,AGO,0,46568.2,0,140905.9,0,173181.2,7357.86,0,27197.03,380528.9
1987,AGO,0,48738.56,0,171186.5,0,170592.14,7357.86,0,28307.43,396065
1988,AGO,0,47755.91,0,193719.7,0,171628.49,7357.86,0,30042.36,420339.4
1989,AGO,0,49526.09,0,192187,0,172986.51,11036.79,0,30054.86,420514.3
1990,AGO,0,49174.6,0,189600.7,0,174508.4,11036.79,0,29017.93,406006.1
1991,AGO,0,47740.6,0,173502,0,185943.1,35.16,0,29305.61,410031.1
1992,AGO,0,34808.96,0,172306.4,0,172065.24,57.16,0,27594.67,386092.4
1993,AGO,0,18728.08,0.01,142889.6,0.01,124346.52,394.2,0.03,20976.52,293494.2
1994,AGO,0.04,21000.5,0.42,163392.1,0.22,112909.3,6816.35,0.68,21257.47,297425.2
1995,AGO,1,25634.4,9.05,179348.1,4.96,123348,5362.61,15.02,24446.09,342038.9
1996,AGO,58.71,29420.8,566.64,199216.6,210.15,136519.8,7526.96,835.49,27757.16,388366
1997,AGO,157.7,32454.19,1064.35,215419.7,529.74,146221.81,7649.72,1751.79,29776.3,416616.8
1998,AGO,329.98,34394.09,1409.71,239298,816.11,147915.91,6506.62,2555.8,31173.15,436160.9
1999,AGO,1080.1,35093.68,12486.3,256587.2,3604.6,144294.82,6152.94,17171,31853.18,445675.7
2000,AGO,5192.6,38489.35,66112.3,266605.5,20361.2,144371.75,9129.63,91666.1,32826.18,459289.4
2001,AGO,16077.1,45417.43,127893,272472.7,53140.7,150540.47,8936.06,197110.8,34206.85,478607.1
2002,AGO,38855.49,38855.49,373119.9,373119.9,248035.61,248035.61,15285.59,665385,47556.17,665385
2003,AGO,82372.81,41972.8,705893,372796.7,536898.19,260908.5,17812.7,1328940,48978.01,685278.68
2004,AGO,122990.5,45781.04,1074883,427974.1,778158.5,277906.06,23552.05,1967571,54342.6,760337.62
2005,AGO,163064,47863.68,1946365,515691.4,1119742,299830.02,36970.92,3222352,62509.7,874608.08
2006,AGO,218540.5,55666.94,2446265,583728.4,1535830.5,324980.46,52381.01,4209762,69728.12,975605.05
2007,AGO,262446,58771.67,3098097,699300.2,1680432,339907.13,65266.45,5006335,79497.12,1112288.56
2008,AGO,319235.7,61565.07,4002940,766200.6,2191267.3,385234.33,88538.61,6643353,88373.78,1236486.89
2009,AGO,369286.7,65094.37,2457174,736338.6,2620970.3,422190.03,70307.17,5577341,89132.51,1247102.81
2010,AGO,475984.6,70652.07,4033234,754968.5,3108776.4,461583.43,83799.49,7701651,93463.65,1307702.2
2011,AGO,613851.6,77121.11,5883312,744294.3,3951271.4,518274.59,111789.81,10500942,96708.69,1353105.36
2012,AGO,742009.2,82604.71,6958224,823823.7,4690700.8,551647.59,128115.93,12224950,104969.69,1468689.61
2013,AGO,858663.9,85925.15,7041230,850181.3,5474085.1,594827.55,136709.87,13195004,110170.51,1541457.17
2014,AGO,1081030,100810.5,6618099,836413.5,6548442,665974,145712.2,14323859,115483.63,1615795.94
2015,AGO,1272620,111107.6,5849788,899091.8,6567511,619283.6,116573.26,13950287,116573.26,1631041.61
2016,AGO,1627016,115426.6,7057325,908175.1,7459781,572050.3,101165.9,16549558,113565.55,1588959.03
