Identifier,year,Country_Code,GDP_Constant_USD,GDP_LCU,GDP_PC,agri_val_lcu,agri_vol_lcu,manu_val_lcu,manu_vol_lcu,serv_val_lcu,serv_vol_lcu,gdp_val_usd,gdp_val_lcu,gdp_vol_usd15,gdp_vol_lcu,_merge1,multiplier,_merge,gdp_vol_usd10
,1960,ABW,,,,,,,,,,,,,,1,,3,
,1961,ABW,,,,,,,,,,,,,,1,,3,
,1962,ABW,,,,,,,,,,,,,,1,,3,
,1963,ABW,,,,,,,,,,,,,,1,,3,
,1964,ABW,,,,,,,,,,,,,,1,,3,
,1965,ABW,,,,,,,,,,,,,,1,,3,
,1966,ABW,,,,,,,,,,,,,,1,,3,
,1967,ABW,,,,,,,,,,,,,,1,,3,
,1968,ABW,,,,,,,,,,,,,,1,,3,
,1969,ABW,,,,,,,,,,,,,,1,,3,
,1970,ABW,,,,,,,,,,,,,,1,,3,
,1971,ABW,,,,,,,,,,,,,,1,,3,
,1972,ABW,,,,,,,,,,,,,,1,,3,
,1973,ABW,,,,,,,,,,,,,,1,,3,
,1974,ABW,,,,,,,,,,,,,,1,,3,
,1975,ABW,,,,,,,,,,,,,,1,,3,
,1976,ABW,,,,,,,,,,,,,,1,,3,
,1977,ABW,,,,,,,,,,,,,,1,,3,
,1978,ABW,,,,,,,,,,,,,,1,,3,
,1979,ABW,,,,,,,,,,,,,,1,,3,
ABW1980,1980,ABW,,,,,,,,,,,,,,1,,3,
ABW1981,1981,ABW,,,,,,,,,,,,,,1,,3,
ABW1982,1982,ABW,,,,,,,,,,,,,,1,,3,
ABW1983,1983,ABW,,,,,,,,,,,,,,1,,3,
ABW1984,1984,ABW,,,,,,,,,,,,,,1,,3,
ABW1985,1985,ABW,,,,,,,,,,,,,,1,,3,
ABW1986,1986,ABW,981607427.2,725779516.6,15669.61604,,,,,,,,,,,1,,3,
ABW1987,1987,ABW,1139434504,872808399.4,18427.61153,,,,,,,,,,,1,,3,
ABW1988,1988,ABW,1351923641,1067598257,22134.01727,,,,,,,,,,,1,,3,
ABW1989,1989,ABW,1515909823,1244594810,24837.95096,,,,,,,,,,,1,,3,
ABW1990,1990,ABW,1575961101,1369147940,25357.78694,,,,,,,,,,,1,,3,
ABW1991,1991,ABW,1701452874,1561128328,26329.31314,,,,,,,,,,,1,,3,
ABW1992,1992,ABW,1801538337,1715649128,26401.96874,,,,,,,,,,,1,,3,
ABW1993,1993,ABW,1933189215,1938533677,26663.20776,,,,,,,,,,,1,,3,
ABW1994,1994,ABW,2091786180,2229781973,27272.31004,,,,,,,,,,,1,,3,
ABW1995,1995,ABW,2145066958,2363650000,26705.181,,,,,,,,,,,1,,3,
ABW1996,1996,ABW,2170502948,2470130000,26087.77581,,,,,,,,,,,1,,3,
ABW1997,1997,ABW,2323455517,2742180000,27190.50118,,,,,,,,,,,1,,3,
ABW1998,1998,ABW,2369738480,2980530000,27151.9241,,,,,,,,,,,1,,3,
ABW1999,1999,ABW,2399076773,3083810000,26954.40451,,,,,,,,,,,1,,3,
ABW2000,2000,ABW,2581804608,3353480000,28417.38421,,,,,,,,,,,1,,3,
ABW2001,2001,ABW,2505092558,3437000000,26966.05479,,,,,,,,,,,1,,3,
ABW2002,2002,ABW,2423084673,3475000000,25508.30252,,,,,,,,,,,1,,3,
ABW2003,2003,ABW,2470953857,3618000000,25469.28741,,,,,,,,,,,1,,3,
ABW2004,2004,ABW,2666444969,3989000000,27005.52953,,,,,,,,,,,1,,3,
ABW2005,2005,ABW,2698824913,4172000000,26979.88536,,,,,,,,,,,1,,3,
ABW2006,2006,ABW,2727178946,4340000000,27046.76042,,,,,,,,,,,1,,3,
ABW2007,2007,ABW,2776274327,4681000000,27428.1202,,,,,,,,,,,1,,3,
