Country_Code,year,GDP_current_LCU,GDP_constant_USD
ABW,1986,725779516.640253,981607427.198877
ABW,1987,872808399.366085,1139434503.7288926
ABW,1988,1067598256.7353401,1351923640.9107673
ABW,1989,1244594809.82567,1515909822.8663445
ABW,1990,1369147939.77813,1575961100.7655697
ABW,1991,1561128300.0,1701452873.8113868
ABW,1992,1715649100.0,1801538336.9767625
ABW,1993,1938533700.0,1933189215.4481413
ABW,1994,2229782000.0,2091786180.156352
ABW,1995,2363650000.0,2145066984.4277112
ABW,1996,2470130000.0,2170502935.0030136
ABW,1997,2742180000.0,2323455541.521604
ABW,1998,2980530000.0,2369738447.1972575
ABW,1999,3083810000.0,2399076806.9701953
ABW,2000,3353480000.0,2581804607.8140316
ABW,2001,3437000000.0,2505092564.794573
ABW,2002,3475000000.0,2423084691.9637628
ABW,2003,3618000000.0,2470953875.24177
ABW,2004,3989000000.0,2666444959.292544
ABW,2005,4172000000.0,2698824916.2910776
ABW,2006,4340000000.0,2727178974.028193
ABW,2007,4681000000.0,2776274358.207612
ABW,2008,4914000000.0,2773756053.9767356
ABW,2009,4473000000.0,2481963892.1005044
ABW,2010,4279000000.0,2390502793.296089
ABW,2011,4564000000.0,2472880828.3629756
ABW,2012,4537000000.0,2439005748.5223866
ABW,2013,4836000000.0,2541400876.222348
ABW,2014,4950000000.0,2549025078.851015
ABW,2015,5226000000.0,2694319530.67228
ABW,2016,5309000000.0,2750900229.6530194
ABW,2017,5471000000.0,2805918209.6096582
AFG,1960,24200001500.0,
AFG,1961,24700000300.0,
AFG,1962,24600000500.0,
AFG,1963,33800003599.999996,
AFG,1964,36000002000.0,
AFG,1965,45299998700.0,
AFG,1966,62999998500.0,
AFG,1967,75300003800.0,
AFG,1968,61800001500.0,
AFG,1969,63400001500.0,
AFG,1970,78699896800.0,
AFG,1971,82399903700.0,
AFG,1972,71799996400.0,
AFG,1973,77999996900.0,
AFG,1974,96999997400.0,
AFG,1975,106499997700.0,
AFG,1976,115000000500.0,
AFG,1977,132900003800.0,
AFG,1978,148500004900.0,
AFG,1979,161599995900.0,
AFG,1980,160599998500.0,
AFG,1981,172200001500.0,
AFG,2002,182162721300.0,7465114629.457832
AFG,2003,221358563000.0,8124454291.896373
AFG,2004,249791940700.0,8239343660.832765
AFG,2005,308163225800.0,9164598458.537924
AFG,2006,348048404600.0,9655582953.980183
AFG,2007,485419056200.0,10990594706.556444
AFG,2008,515046858600.0,11421973770.823273
AFG,2009,611692107000.0,13865194314.71851
AFG,2010,726231122700.0,15856574731.44105
AFG,2011,850347275400.0,15924179997.791433
AFG,2012,1028794220100.0,17954877146.656403
AFG,2013,1138809791300.0,18960483969.89409
AFG,2014,1176469485800.0,19477070577.85842
AFG,2015,1222756495400.0,19759744157.43774
AFG,2016,1222916881118.13,20206376461.41028
AFG,2017,1285460326468.5498,20741239893.4132
AFG,2018,1327690394725.78,20987900552.523914
AFG,2019,1469596303316.48,21808863988.03027
AGO,1980,177.4288007461,26637104502.15638
AGO,1981,166.0593514683,25465071579.258854
