Country,Tax Type,month,Apr-20,Mar-20,Jun-19,Jun-20,Jul-19,Jul-20,Income_Group,May-20,IDA,Region_Code,Oct-19,Jan-20,Jan-19,Sep-19,Aug-19,Apr-19,Country_Code,May-19,Mar-19,Feb-20,Feb-19,Units (LCU),Nov-19,Dec-19,grmonth
Australia,Tax Revenue,0,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,0.04885835913312694
Australia,Tax Revenue,1,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,-0.00266128495708678
Australia,Tax Revenue,2,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,-0.005063291139240506
Australia,Tax Revenue,3,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,-0.050478577939835914
Australia,Tax Revenue,4,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,-0.16546994755949979
Australia,Tax Revenue,5,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,-0.3531183755439027
Australia,Tax Revenue,6,41665.0,34191.0,26889.0,17394.0,38243.0,,High Income,41376.0,,EAP,41189.0,32523.0,31008.0,29029.0,34484.0,43880.0,AUS,49580.0,34365.0,44971.0,45091.0,mill lcu,40390.0,36591.0,
Indonesia,Tax Revenue,0,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.05697476613754023
Indonesia,Tax Revenue,1,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,0.06666880062921414
Indonesia,Tax Revenue,2,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.007547853214117729
Indonesia,Tax Revenue,3,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.012939611058172634
Indonesia,Tax Revenue,4,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.3102385540047534
Indonesia,Tax Revenue,5,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.1730461839936063
Indonesia,Tax Revenue,6,154446.03,101929.5,119617.2,98917.9,121804.11,86062.1,Lower-Middle Income,91678.47,IBRD,EAP,134634.1,84650.0,89764.3,119103.9,109405.79,156470.7,IDN,132913.3,102704.7,93306.0,87474.2,bill lcu,138582.7,232855.0,-0.2934384562228647
