Country,Tax_Type,month,Income_Group,Units(LCU),IDA,Region_Code,Units (LCU),Country_Code,LCU_USD_ex_rate,revenue,grmonth,revenue_USD,revenue_prev_yr,revenue_prev_yr_USD,revenue_diff,revenue_diff_USD,year,outlier,cal_month,revenue_diff_percent_LAC
Australia,Tax Revenue,1,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,31008.0,,22177.0848233443,,,,,2019,0,Jan,
Australia,Tax Revenue,2,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,45091.0,,32249.32055499928,,,,,2019,0,Feb,
Australia,Tax Revenue,3,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,34365.0,,24578.02889429266,,,,,2019,0,Mar,
Australia,Tax Revenue,4,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,43880.0,,31383.206980403374,,,,,2019,0,Apr,
Australia,Tax Revenue,5,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,49580.0,,35459.87698469461,,,,,2019,0,May,
Australia,Tax Revenue,6,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,26889.0,,19231.15434129595,,,,,2019,0,Jun,
Australia,Tax Revenue,7,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,38243.0,,27351.59490773852,,,,,2019,0,Jul,
Australia,Tax Revenue,8,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,34484.0,,24663.13832069804,,,,,2019,0,Aug,
Australia,Tax Revenue,9,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,29029.0,,20761.69360606494,,,,,2019,0,Sep,
Australia,Tax Revenue,10,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,41189.0,,29458.589615219567,,,,,2019,0,Oct,
Australia,Tax Revenue,11,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,40390.0,,28887.140609354883,,,,,2019,0,Nov,
Australia,Tax Revenue,12,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,36591.0,,26170.07581175797,,,,,2019,0,Dec,
Australia,Tax Revenue,13,High Income,mill lcu,0,EAP,,AUS,0.7152052639107424,32523.0,0.04110214812956178,23260.620798169075,31008.0,22177.0848233443,1515.0,1083.5359748247756,2020,0,Jan,
