Country,Tax_Type,month,IDA,LCU_USD_ex_rate,Income_Group,Units (LCU),Region_Code,Units(LCU),Country_Code,revenue,grmonth,revenue_USD,revenue_prev_yr,revenue_prev_yr_USD,revenue_diff,revenue_diff_USD,year,outlier,cal_month,revenue_diff_percent_LAC
Australia,Tax Revenue,1,0,0.715205264,High Income,,EAP,mill lcu,AUS,31008,,22177.08482,,,,,2019,0,Jan,
Australia,Tax Revenue,2,0,0.715205264,High Income,,EAP,mill lcu,AUS,45091,,32249.32055,,,,,2019,0,Feb,
Australia,Tax Revenue,3,0,0.715205264,High Income,,EAP,mill lcu,AUS,34365,,24578.02889,,,,,2019,0,Mar,
Australia,Tax Revenue,4,0,0.715205264,High Income,,EAP,mill lcu,AUS,43880,,31383.20698,,,,,2019,0,Apr,
Australia,Tax Revenue,5,0,0.715205264,High Income,,EAP,mill lcu,AUS,49580,,35459.87698,,,,,2019,0,May,
Australia,Tax Revenue,6,0,0.715205264,High Income,,EAP,mill lcu,AUS,26889,,19231.15434,,,,,2019,0,Jun,
Australia,Tax Revenue,7,0,0.715205264,High Income,,EAP,mill lcu,AUS,38243,,27351.59491,,,,,2019,0,Jul,
Australia,Tax Revenue,8,0,0.715205264,High Income,,EAP,mill lcu,AUS,34484,,24663.13832,,,,,2019,0,Aug,
Australia,Tax Revenue,9,0,0.715205264,High Income,,EAP,mill lcu,AUS,29029,,20761.69361,,,,,2019,0,Sep,
Australia,Tax Revenue,10,0,0.715205264,High Income,,EAP,mill lcu,AUS,41189,,29458.58962,,,,,2019,0,Oct,
Australia,Tax Revenue,11,0,0.715205264,High Income,,EAP,mill lcu,AUS,40390,,28887.14061,,,,,2019,0,Nov,
Australia,Tax Revenue,12,0,0.715205264,High Income,,EAP,mill lcu,AUS,36591,,26170.07581,,,,,2019,0,Dec,
Australia,Tax Revenue,13,0,0.715205264,High Income,,EAP,mill lcu,AUS,32523,0.041102148,23260.6208,31008,22177.08482,1515,1083.535975,2020,0,Jan,
Australia,Tax Revenue,14,0,0.715205264,High Income,,EAP,mill lcu,AUS,44971,-0.010036513,32163.49592,45091,32249.32055,-120,-85.82463167,2020,0,Feb,
Australia,Tax Revenue,15,0,0.715205264,High Income,,EAP,mill lcu,AUS,34191,-0.012420757,24453.58318,34365,24578.02889,-174,-124.4457159,2020,0,Mar,
Australia,Tax Revenue,16,0,0.715205264,High Income,,EAP,mill lcu,AUS,41665,-0.057500201,29799.02732,43880,31383.20698,-2215,-1584.17966,2020,0,Apr,
Australia,Tax Revenue,17,0,0.715205264,High Income,,EAP,mill lcu,AUS,41376,-0.17164122,29592.333,49580,35459.87698,-8204,-5867.543985,2020,0,May,
Australia,Tax Revenue,18,0,0.715205264,High Income,,EAP,mill lcu,AUS,17394,-0.357902006,12440.28036,26889,19231.15434,-9495,-6790.873981,2020,0,Jun,
Australia,Tax Revenue,19,0,0.715205264,High Income,,EAP,mill lcu,AUS,0,-1,0,38243,27351.59491,-38243,-27351.59491,2020,0,Jul,
