Country_Name,year,Country_Code,Region_Code,IDA_IBRD,Tax_Revenue
,2018,ABW,LAC,NONE,0.2016748080949058
,2019,ABW,LAC,NONE,
,2018,AFG,SA,IDA,0.09173828227974903
Afghanistan,2019,AFG,SA,IDA,0.08362819814915623
,2018,AGO,SSA,IBRD,0.1947121352489761
Angola,2019,AGO,SSA,IBRD,0.18531910493747852
,2018,AIA,LAC,NONE,
,2019,AIA,LAC,NONE,
,2018,ALB,ECA,IBRD,0.19601440955664784
,2019,ALB,ECA,IBRD,0.1939705558170433
,2018,ARE,MENA,NONE,0.13738907641831175
,2019,ARE,MENA,NONE,0.1477645130567032
,2018,ARG,LAC,IBRD,0.22621285000330058
,2019,ARG,LAC,IBRD,0.2293095431349007
,2018,ARM,ECA,IBRD,
,2019,ARM,ECA,IBRD,
,2018,ATG,LAC,IBRD,0.15681748961698203
,2019,ATG,LAC,IBRD,0.14981992422554044
Australia,2018,AUS,EAP,NONE,0.2939566686668983
,2019,AUS,EAP,NONE,
,2018,AUT,WER,NONE,0.275569890129281
,2019,AUT,WER,NONE,0.2770474627428787
,2018,AZE,ECA,IBRD,0.13129900614293563
,2019,AZE,ECA,IBRD,0.14256314197916284
,2018,BDI,SSA,IDA,
Burundi,2019,BDI,SSA,IDA,0.162534580510252
,2018,BEL,WER,NONE,0.3063207643472575
,2019,BEL,WER,NONE,0.2943543103375864
,2018,BEN,SSA,IDA,
,2019,BEN,SSA,IDA,
,2018,BFA,SSA,IDA,0.15242577506801572
Burkina Faso,2019,BFA,SSA,IDA,0.1592569983697424
Bangladesh,2018,BGD,SA,IDA,0.07900540284979331
,2019,BGD,SA,IDA,
,2018,BGR,ECA,IBRD,0.2107513463273284
,2019,BGR,ECA,IBRD,0.21204064389005778
,2018,BHR,MENA,NONE,0.011481323713801384
,2019,BHR,MENA,NONE,0.030258187504493297
,2018,BHS,LAC,NONE,0.14096713254492396
,2019,BHS,LAC,NONE,0.1619189925620443
,2018,BIH,ECA,IBRD,0.2298897170446119
,2019,BIH,ECA,IBRD,0.2270535477008726
,2018,BLR,ECA,IBRD,0.25064491915712883
,2019,BLR,ECA,IBRD,0.2380029535080753
,2018,BLZ,LAC,IBRD,0.2746347941567065
