year,Country_Code,Total_Revenue,Tax_Revenue,Income_Taxes,PIT,CIT,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Social_Contributions,Property_Tax,Other_Taxes,Direct_Taxes,Indirect_Taxes,Total_Non_Tax_Revenue,GDP_Current_LCU,GDP_Constant_USD,Tax_Revenue_real_USD,Tax_Revenue_current_LCU,gr_Tax_Revenue,outlier
1980,ABW,,,,,,,,,,,,,,,,,,,,,0
1981,ABW,,,,,,,,,,,,,,,,,,,,,0
1982,ABW,,,,,,,,,,,,,,,,,,,,,0
1983,ABW,,,,,,,,,,,,,,,,,,,,,0
1984,ABW,,,,,,,,,,,,,,,,,,,,,0
1985,ABW,,,,,,,,,,,,,,,,,,,,,0
1986,ABW,0.260265780730897,,,,,,,,,,,,,,,725779516.640253,981607427.198877,,,,0
1987,ABW,0.3028749862006971,,,,,,,,,,,,,,,872808399.366085,1139434503.7288926,,,,0
1988,ABW,0.2201693379947447,,,,,,,,,,,,,,,1067598256.7353401,1351923640.9107673,,,,0
1989,ABW,0.2161351537679728,,,,,,,,,,,,,,,1244594809.82567,1515909822.8663445,,,,0
1990,ABW,,,,,,,,,,,,,,,,1369147939.77813,1575961100.7655697,,,,0
1991,ABW,,,,,,,,,,,,,,,,1561128300.0,1701452873.8113868,,,,0
1992,ABW,0.2505827505827506,0.19702797202797204,0.09044289044289043,0.07045454545454546,0.019988344988344987,0.04149184149184149,,0.04149184149184149,0.043240093240093244,,0.005944055944055944,0.00844988344988345,,0.08694638694638694,0.043006993006993004,1715649100.0,1801538336.9767625,354953445.06517684,338030862.8846154,,0
1993,ABW,0.24280556988138216,0.2072202166064982,0.09283135636926251,0.0701908200103146,0.02264053635894791,0.03950489943269726,,0.03950489943269726,0.04600309437854564,,0.007271789582258896,0.013563692625064466,,0.09308922124806601,0.027694687983496648,1938533700.0,1933189215.4481413,400595887.9665102,401703373.2129964,0.12858712469448608,0
1994,ABW,0.22919282511210765,0.1975784753363229,0.08632286995515695,0.06300448430493273,0.023318385650224215,0.0389237668161435,,0.0389237668161435,0.04654708520179372,,0.0053811659192825115,0.007533632286995516,,0.09300448430493274,0.02251121076233184,2229782000.0,2091786180.156352,413291924.20488286,440556927.8923767,0.031692877085732984,0
1995,ABW,0.24348561759729273,0.1939932318104907,0.08929780033840948,0.0661590524534687,0.023138747884940778,0.039890016920473774,,0.039890016920473774,0.03739424703891709,,0.007529610829103215,0.00727580372250423,,0.0845600676818951,0.038028764805414554,2363650000.0,2145066984.4277112,416128476.7591152,458532102.3688663,0.00686331473737245,0
1996,ABW,0.23850202429149797,0.19902834008097167,0.09040485829959514,0.06534412955465588,0.02506072874493927,0.03736842105263158,,0.03736842105263158,0.041740890688259105,0.06587044534412954,0.007813765182186235,0.007651821862348178,0.17813765182186234,0.08676113360323887,0.03963562753036438,2470130000.0,2170502935.0030136,431991596.29452693,491625873.68421054,0.03812072574065728,0
1997,ABW,0.20094821298322393,0.18223924142961342,0.08446389496717724,0.06156090444930708,0.02290299051787017,0.03479212253829322,,0.03479212253829322,0.03825674690007294,0.06469730123997082,0.007330415754923414,0.005762217359591539,0.16812545587162656,0.07881108679795769,0.018708971553610503,2742180000.0,2323455541.521604,423424775.3823288,499732803.06345737,-0.019830989736099758,0
1998,ABW,0.206340154310634,0.17963770546796376,0.08440120764844011,0.06360281784636028,0.02079838980207984,0.03317678631331768,,0.03317678631331768,0.03656491110365649,0.06024823884602482,0.008487084870848708,0.0056021469305602145,0.16454209996645422,0.07534384434753438,0.026702448842670243,2980530000.0,2369738447.1972575,425694377.21373075,535415570.27843004,0.005360106359748595,0
