Country_Code,year,Country,Tax_Revenue,Total_Non_Tax_Revenue,Total_Revenue,Direct_taxes,Income_Taxes,PIT,CIT,Indirect_Taxes,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Social_Contributions,Property_Tax,Other_Taxes,Resource_Taxes,Non_Res_Tax_Rev_incl_SC,Non_Res_Tax_Rev_excl_SC,Direct_excl_SC_incl_Res,Direct_excl_SC_excl_Res,Export_Taxes,Import_Taxes,Total_Revenue_excl_SC,Tax_Revenue_incl_SC,Tax_Revenue_real_USD,gr_Tax_Revenue,Tax_Revenue_current_LCU,outlier,Resource_Rich,Oil_Gas_Rich,Region_Code,Region_Desc,Country_Name,Income_Group,Income_Desc,Country_Code2,Small_States,IDA_IBRD,IDA_IBRD_Desc,DSSI
ABW,2003,Aruba,0.194786058,0.068206291,0.26,0.176593936,0.096316237,0.066392746,0.029923491,0.074525361,0.033862284,NULL,0.033862284,0.036525928,0.056361576,0.011958062,0.004137149,,0.251147634,0.194786058,0.12023236,0.12023236,,0.032558799,,,481307365.8,0.114710341,704735959.2,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2004,Aruba,0.177279804,0.016672475,0.19,0.152083057,0.080704807,0.062051692,0.018653115,0.074411888,0.030812739,NULL,0.030812739,0.039788297,0.04921514,0.008549344,0.003835923,,0.226494944,0.177279804,0.102867916,0.102867916,,0.033219593,,,472706840.4,-0.017869092,707169139.1,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2005,Aruba,0.186794488,0.017351708,0.2,0.15568604,0.087405632,0.064493709,0.022911923,0.075805872,0.029766327,NULL,0.029766327,0.042540443,0.044673457,0.010161774,0.003475135,,0.231467945,0.186794488,0.111012582,0.111012582,,0.033720791,,,504125617.7,0.066465671,779306602.8,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2006,Aruba,0.19616982,0.023604061,0.22,0.159690817,0.091647439,0.070858329,0.020789109,0.081425934,0.026234425,NULL,0.026234425,0.05184587,0.044946931,0.010221504,0.003345639,,0.241116751,0.19616982,0.114743886,0.114743886,,0.037540378,,,534990208.5,0.061224008,851377018.9,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2007,Aruba,0.18786201,0.025063884,0.21,0.163500852,0.066673765,NULL,NULL,0.036201022,,NULL,NULL,NULL,0.043398637,0.012478705,NULL,,0.231260647,0.187925894,0.151724872,0.151724872,,,,,521556481.9,-0.025110229,879382069.8,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2008,Aruba,0.195655462,0.022613445,0.22,,0.070828331,NULL,NULL,0.044217687,,NULL,NULL,NULL,NULL,0.014747899,NULL,,,0.195678271,0.151460584,0.151460584,,,,,542700522.7,0.040540271,961450941.2,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2009,Aruba,0.208,0.029,0.24,,0.076011625,NULL,NULL,0.046948357,,NULL,NULL,NULL,NULL,0.015,NULL,,,0.207019897,0.16007154,0.16007154,,,,,516248489.6,-0.048741492,930384000,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2010,Aruba,0.25,0.025,0.28,,0.082963309,NULL,NULL,0.078990418,,NULL,NULL,NULL,NULL,0.015,NULL,,,0.250993223,0.172002804,0.172002804,,,,,597625698.3,0.157631858,1069750000,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2011,Aruba,0.188,0.027,0.22,,0.078001753,NULL,NULL,0.030017528,,NULL,NULL,NULL,NULL,0.013,NULL,,,0.189088519,0.15907099,0.15907099,,,,,464901595.7,-0.222085668,858032000,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2012,Aruba,0.202464144,0.021941927,0.22,,0.090849098,NULL,NULL,0.02991641,,NULL,NULL,NULL,NULL,0.014960405,NULL,,,0.203475583,0.173559173,0.173559173,,,,,493811211.8,0.062184377,918579822.7,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2013,Aruba,0.203779888,0.037958999,0.24,,0.087829089,NULL,NULL,0.029995684,,NULL,NULL,NULL,NULL,0.015982736,NULL,,,0.203927492,0.173931808,0.173931808,,,,,517886385.4,0.048753801,985479537.3,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2014,Aruba,0.211258697,0.024457095,0.24,,0.093611638,NULL,NULL,0.030571368,,NULL,NULL,NULL,NULL,0.016445288,NULL,,,0.211258697,0.180476492,0.180476492,,,,,538503716.8,0.03981053,1045730550,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2015,Aruba,0.216687422,0.03279369,0.25,,0.102532171,NULL,NULL,0.03071814,,NULL,NULL,NULL,NULL,0.01535907,NULL,,,0.216687422,0.185969282,0.185969282,,,,,583825153.6,0.08416179,1132408468,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
