,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
0,ABW,1980,,
1,ABW,1981,,
2,ABW,1982,,
3,ABW,1983,,
4,ABW,1984,,
5,ABW,1985,,
6,ABW,1986,,
7,ABW,1987,,
8,ABW,1988,,
9,ABW,1989,,
10,ABW,1990,,
11,ABW,1991,,
12,ABW,1992,354953445.06517684,
13,ABW,1993,400595887.9665102,354953445.06517684
14,ABW,1994,413291924.20488286,400595887.9665102
15,ABW,1995,416128476.7591152,413291924.20488286
16,ABW,1996,431991596.29452693,416128476.7591152
17,ABW,1997,423424775.3823288,431991596.29452693
18,ABW,1998,425694377.21373075,423424775.3823288
19,ABW,1999,473514284.1772886,425694377.21373075
20,ABW,2000,484621874.8361475,473514284.1772886
21,ABW,2001,446848373.6495879,484621874.8361475
22,ABW,2002,431777967.91029227,446848373.6495879
23,ABW,2003,481307365.78101236,431777967.91029227
24,ABW,2004,472706840.4069984,481307365.78101236
25,ABW,2005,504125617.676996,472706840.4069984
26,ABW,2006,534990208.5184056,504125617.676996
27,ABW,2007,521556481.85918987,534990208.5184056
28,ABW,2008,542700522.7289103,521556481.85918987
29,ABW,2009,516248489.5569049,542700522.7289103
30,ABW,2010,597625698.3240223,516248489.5569049
31,ABW,2011,464901595.7322394,597625698.3240223
32,ABW,2012,493811211.8239116,464901595.7322394
33,ABW,2013,517886385.37565446,493811211.8239116
34,ABW,2014,538503716.8477161,517886385.37565446
35,ABW,2015,583825153.5952387,538503716.8477161
36,ABW,2016,617737898.50072,583825153.5952387
37,ABW,2017,633160271.699197,617737898.50072
38,ABW,2018,,633160271.699197
39,AFG,1980,,
40,AFG,1981,,
41,AFG,1982,,
42,AFG,1983,,
43,AFG,1984,,
44,AFG,1985,,
45,AFG,1986,,
46,AFG,1987,,
47,AFG,1988,,
48,AFG,1989,,
49,AFG,1990,,
50,AFG,1991,,
51,AFG,1992,,
52,AFG,1993,,
53,AFG,1994,,
54,AFG,1995,,
55,AFG,1996,,
56,AFG,1997,,
57,AFG,1998,,
58,AFG,1999,,
59,AFG,2000,,
60,AFG,2001,,
61,AFG,2002,,
